!  t (Gyr) =   0.0005
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.020  2411.   -2.92  4.14  0.198    1.000  18.44  17.14  13.75  12.03  10.93  
 0.030  2555.   -2.84  4.34  0.194    1.000  17.48  16.43  13.08  11.58  10.64  
 0.040  2681.   -2.68  4.38  0.213    1.000  16.19  15.33  12.24  10.95  10.17  
 0.050  2811.   -2.52  4.40  0.233    1.000  15.44  14.37  11.60  10.45   9.75  
 0.060  2883.   -2.41  4.42  0.251    1.000  14.76  13.86  11.23  10.13   9.50  
 0.070  2940.   -2.31  4.42  0.271    1.000  14.28  13.44  10.90   9.85   9.26  
 0.072  2950.   -2.29  4.42  0.275    1.000  14.20  13.37  10.84   9.80   9.21  
 0.075  2964.   -2.27  4.42  0.279    1.000  14.09  13.26  10.76   9.73   9.15  
 0.080  2986.   -2.22  4.42  0.290    1.000  13.90  13.08  10.62   9.60   9.04  
 0.090  3025.   -2.15  4.42  0.306    1.000  13.58  12.75  10.39   9.41   8.87  
 0.100  3059.   -2.10  4.43  0.319    1.000  13.29  12.44  10.18   9.24   8.73  
 0.110  3090.   -2.03  4.43  0.336    0.999  13.00  12.14   9.98   9.06   8.57  
 0.130  3141.   -1.93  4.42  0.366    0.996  12.60  11.72   9.66   8.79   8.32  
 0.150  3182.   -1.84  4.42  0.396    0.987  12.28  11.38   9.40   8.55   8.10  
 0.170  3215.   -1.77  4.42  0.422    0.960  12.02  11.11   9.18   8.35   7.92  
 0.200  3263.   -1.67  4.41  0.460    0.852  11.67  10.76   8.89   8.09   7.67  
 0.300  3392.   -1.42  4.41  0.565    0.006  10.79   9.83   8.18   7.45   7.08  
 0.400  3500.   -1.25  4.42  0.643    0.000  10.18   9.19   7.70   7.03   6.69  
 0.500  3609.   -1.11  4.43  0.710    0.000   9.64   8.61   7.28   6.67   6.36  
 0.600  3733.   -0.98  4.44  0.771    0.000   9.12   8.05   6.89   6.35   6.07  
 0.700  3894.   -0.85  4.45  0.829    0.000   8.57   7.47   6.49   6.02   5.77  
 0.800  4102.   -0.69  4.44  0.895    0.009   8.03   6.81   6.02   5.63   5.41  
 0.900  4406.   -0.50  4.42  0.966    0.089   7.20   6.05   5.47   5.17   4.98  
 1.000  4793.   -0.28  4.39  1.057    0.308   6.28   5.31   4.85   4.60   4.46  
 1.100  5302.    0.01  4.32  1.198    0.575   5.28   4.51   4.13   3.93   3.83  
 1.200  5911.    0.35  4.21  1.430    0.770   4.22   3.61   3.31   3.16   3.10  
 1.300  6330.    0.41  4.30  1.340    0.880   3.97   3.46   3.20   3.09   3.05  
 1.400  6475.    0.50  4.28  1.415    0.938   3.73   3.25   3.01   2.90   2.87  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0250
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.015  2181.   -3.20  4.12  0.177    1.000  20.63  18.26  15.31  13.25  11.90  
 0.020  2306.   -3.12  4.27  0.172    1.000  19.67  17.75  14.57  12.66  11.44  
 0.030  2500.   -2.95  4.41  0.178    1.000  17.99  16.95  13.56  11.98  11.00  
 0.040  2655.   -2.76  4.45  0.196    1.000  16.68  15.69  12.54  11.20  10.38  
 0.050  2792.   -2.60  4.47  0.214    1.000  15.76  14.63  11.83  10.66   9.95  
 0.060  2874.   -2.48  4.49  0.231    1.000  15.01  14.07  11.42  10.33   9.69  
 0.070  2935.   -2.38  4.49  0.249    1.000  14.48  13.62  11.09  10.04   9.45  
 0.072  2946.   -2.36  4.49  0.253    1.000  14.39  13.55  11.03   9.99   9.40  
 0.075  2961.   -2.34  4.49  0.257    1.000  14.28  13.44  10.95   9.92   9.34  
 0.080  2985.   -2.30  4.49  0.266    1.000  14.08  13.25  10.80   9.79   9.23  
 0.090  3026.   -2.22  4.49  0.283    0.999  13.73  12.89  10.54   9.57   9.04  
 0.100  3061.   -2.16  4.50  0.295    0.998  13.43  12.56  10.34   9.40   8.89  
 0.110  3094.   -2.10  4.50  0.310    0.995  13.14  12.25  10.13   9.22   8.74  
 0.130  3148.   -2.00  4.49  0.338    0.974  12.73  11.82   9.81   8.94   8.48  
 0.150  3194.   -1.90  4.49  0.365    0.914  12.39  11.47   9.53   8.70   8.26  
 0.170  3228.   -1.83  4.48  0.391    0.774  12.12  11.20   9.31   8.50   8.07  
 0.200  3276.   -1.73  4.48  0.425    0.346  11.78  10.85   9.03   8.24   7.83  
 0.300  3410.   -1.48  4.48  0.521    0.000  10.89   9.91   8.31   7.60   7.23  
 0.400  3507.   -1.31  4.49  0.599    0.000  10.30   9.29   7.83   7.17   6.84  
 0.500  3604.   -1.18  4.49  0.662    0.000   9.79   8.75   7.43   6.82   6.52  
 0.600  3731.   -1.04  4.49  0.725    0.000   9.25   8.18   7.02   6.48   6.20  
 0.700  3916.   -0.88  4.49  0.789    0.000   8.62   7.52   6.56   6.10   5.85  
 0.800  4186.   -0.69  4.47  0.858    0.006   7.93   6.72   6.00   5.64   5.43  
 0.900  4601.   -0.45  4.45  0.938    0.084   6.88   5.82   5.31   5.04   4.87  
 1.000  5147.   -0.15  4.39  1.056    0.307   5.75   4.93   4.53   4.32   4.20  
 1.100  5796.    0.18  4.31  1.220    0.575   4.68   4.05   3.73   3.57   3.51  
 1.200  6102.    0.22  4.39  1.156    0.770   4.50   3.94   3.65   3.52   3.47  
 1.300  6271.    0.35  4.34  1.276    0.880   4.13   3.61   3.34   3.22   3.18  
 1.400  6622.    0.55  4.27  1.432    0.938   3.58   3.13   2.90   2.81   2.78  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0300
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.015  2139.   -3.26  4.15  0.171    1.000  20.95  18.41  15.59  13.48  12.10  
 0.020  2184.   -3.29  4.34  0.159    1.000  21.32  18.54  15.62  13.50  12.09  
 0.030  2448.   -3.05  4.47  0.167    1.000  18.71  17.24  13.93  12.24  11.18  
 0.040  2632.   -2.83  4.51  0.185    1.000  17.11  15.99  12.78  11.40  10.54  
 0.050  2755.   -2.68  4.53  0.200    1.000  15.99  14.97  12.08  10.88  10.16  
 0.060  2860.   -2.55  4.54  0.217    1.000  15.27  14.27  11.60  10.49   9.84  
 0.070  2925.   -2.45  4.55  0.233    1.000  14.71  13.82  11.27  10.20   9.61  
 0.072  2936.   -2.43  4.55  0.236    1.000  14.62  13.74  11.20  10.15   9.56  
 0.075  2952.   -2.40  4.55  0.241    1.000  14.49  13.61  11.11  10.07   9.49  
 0.080  2977.   -2.36  4.55  0.249    0.999  14.30  13.43  10.97   9.95   9.39  
 0.090  3020.   -2.28  4.55  0.264    0.997  13.94  13.07  10.71   9.73   9.19  
 0.100  3056.   -2.22  4.55  0.277    0.990  13.61  12.73  10.49   9.55   9.04  
 0.110  3089.   -2.16  4.56  0.289    0.973  13.32  12.43  10.29   9.38   8.90  
 0.130  3145.   -2.05  4.55  0.317    0.888  12.88  11.97   9.95   9.08   8.63  
 0.150  3193.   -1.96  4.55  0.342    0.653  12.53  11.60   9.67   8.84   8.40  
 0.170  3231.   -1.88  4.54  0.366    0.297  12.25  11.31   9.44   8.63   8.21  
 0.200  3279.   -1.78  4.54  0.398    0.008  11.90  10.96   9.16   8.37   7.97  
 0.300  3413.   -1.54  4.54  0.488    0.000  11.01  10.03   8.44   7.73   7.37  
 0.400  3508.   -1.36  4.54  0.564    0.000  10.42   9.40   7.95   7.30   6.96  
 0.500  3602.   -1.23  4.54  0.627    0.000   9.91   8.86   7.55   6.94   6.64  
 0.600  3739.   -1.08  4.54  0.692    0.000   9.33   8.25   7.10   6.57   6.29  
 0.700  3960.   -0.90  4.52  0.758    0.000   8.61   7.50   6.58   6.14   5.90  
 0.800  4320.   -0.66  4.50  0.834    0.005   7.70   6.52   5.90   5.57   5.37  
 0.900  4848.   -0.37  4.46  0.925    0.083   6.48   5.54   5.09   4.85   4.70  
 1.000  5520.   -0.03  4.39  1.053    0.307   5.30   4.59   4.24   4.06   3.98  
 1.100  5897.    0.07  4.44  1.045    0.575   4.91   4.30   4.00   3.85   3.79  
 1.200  6052.    0.19  4.41  1.133    0.770   4.59   4.02   3.73   3.59   3.54  
 1.300  6335.    0.38  4.33  1.287    0.880   4.06   3.55   3.29   3.17   3.13  
 1.400  6743.    0.56  4.29  1.400    0.938   3.53   3.11   2.89   2.80   2.78  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0400
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.015  1996.   -3.45  4.22  0.158    1.000  22.19  19.00  16.52  14.34  12.72  
 0.020  2005.   -3.52  4.42  0.144    1.000  22.25  19.06  16.62  14.44  12.82  
 0.030  2366.   -3.18  4.55  0.153    1.000  19.70  17.67  14.50  12.65  11.47  
 0.040  2581.   -2.95  4.59  0.167    1.000  17.86  16.58  13.28  11.80  10.88  
 0.050  2699.   -2.80  4.61  0.183    1.000  16.39  15.53  12.49  11.22  10.48  
 0.060  2830.   -2.65  4.63  0.196    1.000  15.71  14.63  11.91  10.77  10.10  
 0.070  2904.   -2.55  4.63  0.211    0.999  15.09  14.13  11.54  10.46   9.86  
 0.072  2916.   -2.53  4.63  0.214    0.998  15.00  14.05  11.48  10.40   9.81  
 0.075  2933.   -2.50  4.64  0.218    0.996  14.87  13.93  11.39  10.33   9.74  
 0.080  2961.   -2.45  4.63  0.225    0.993  14.65  13.72  11.23  10.19   9.62  
 0.090  3007.   -2.38  4.64  0.239    0.973  14.28  13.36  10.96   9.96   9.43  
 0.100  3046.   -2.31  4.64  0.250    0.906  13.93  13.01  10.74   9.78   9.27  
 0.110  3081.   -2.25  4.64  0.263    0.778  13.59  12.68  10.52   9.60   9.12  
 0.130  3138.   -2.14  4.64  0.287    0.288  13.13  12.21  10.18   9.31   8.86  
 0.150  3187.   -2.05  4.63  0.309    0.011  12.78  11.83   9.90   9.07   8.63  
 0.170  3229.   -1.97  4.63  0.330    0.000  12.48  11.53   9.67   8.86   8.44  
 0.200  3280.   -1.87  4.63  0.360    0.000  12.11  11.16   9.37   8.59   8.19  
 0.300  3410.   -1.62  4.62  0.443    0.000  11.23  10.23   8.65   7.94   7.59  
 0.400  3509.   -1.44  4.62  0.514    0.000  10.61   9.58   8.14   7.49   7.16  
 0.500  3606.   -1.29  4.61  0.580    0.000  10.06   9.00   7.70   7.10   6.80  
 0.600  3771.   -1.12  4.59  0.647    0.000   9.39   8.29   7.19   6.68   6.40  
 0.700  4084.   -0.88  4.56  0.723    0.000   8.51   7.30   6.50   6.10   5.88  
 0.800  4645.   -0.57  4.53  0.806    0.005   7.13   6.09   5.60   5.33   5.17  
 0.900  5301.   -0.25  4.49  0.892    0.083   5.92   5.15   4.77   4.57   4.47  
 1.000  5570.   -0.15  4.53  0.900    0.307   5.58   4.89   4.55   4.37   4.29  
 1.100  5822.    0.02  4.47  1.006    0.575   5.07   4.45   4.13   3.98   3.91  
 1.200  6090.    0.21  4.40  1.145    0.770   4.53   3.97   3.68   3.55   3.50  
 1.300  6413.    0.40  4.33  1.287    0.880   3.99   3.50   3.24   3.13   3.10  
 1.400  6757.    0.56  4.30  1.389    0.938   3.54   3.12   2.90   2.81   2.79  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0500
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.015  1760.   -3.74  4.29  0.146    1.000  22.66  19.48  17.33  15.59  14.34  
 0.020  1838.   -3.72  4.47  0.137    1.000  22.55  19.43  17.26  15.42  14.10  
 0.030  2304.   -3.28  4.60  0.144    1.000  20.23  17.98  14.93  12.97  11.75  
 0.040  2525.   -3.05  4.65  0.156    1.000  18.34  17.04  13.74  12.15  11.21  
 0.050  2671.   -2.88  4.67  0.170    1.000  16.92  15.91  12.80  11.47  10.69  
 0.060  2804.   -2.73  4.69  0.182    0.999  16.00  14.91  12.14  10.98  10.30  
 0.070  2882.   -2.63  4.70  0.195    0.992  15.42  14.40  11.77  10.67  10.05  
 0.072  2896.   -2.61  4.70  0.198    0.989  15.32  14.31  11.70  10.61  10.01  
 0.075  2916.   -2.57  4.70  0.202    0.982  15.16  14.17  11.59  10.52   9.93  
 0.080  2945.   -2.53  4.70  0.209    0.960  14.95  13.97  11.44  10.39   9.82  
 0.090  2996.   -2.45  4.70  0.221    0.862  14.55  13.60  11.16  10.15   9.61  
 0.100  3037.   -2.38  4.71  0.232    0.596  14.18  13.24  10.93   9.96   9.45  
 0.110  3073.   -2.32  4.71  0.244    0.248  13.82  12.89  10.71   9.78   9.29  
 0.130  3133.   -2.21  4.70  0.266    0.001  13.32  12.39  10.36   9.49   9.03  
 0.150  3182.   -2.13  4.70  0.285    0.000  12.97  12.02  10.09   9.25   8.82  
 0.170  3225.   -2.04  4.70  0.305    0.000  12.67  11.71   9.85   9.04   8.62  
 0.200  3280.   -1.94  4.70  0.332    0.000  12.28  11.32   9.54   8.76   8.36  
 0.300  3407.   -1.69  4.69  0.411    0.000  11.40  10.39   8.81   8.11   7.75  
 0.400  3512.   -1.50  4.68  0.479    0.000  10.75   9.71   8.29   7.64   7.31  
 0.500  3617.   -1.34  4.66  0.548    0.000  10.15   9.08   7.80   7.21   6.91  
 0.600  3821.   -1.13  4.63  0.621    0.000   9.36   8.24   7.21   6.71   6.45  
 0.700  4270.   -0.83  4.59  0.702    0.000   8.18   6.98   6.32   5.99   5.78  
 0.800  4938.   -0.49  4.56  0.776    0.005   6.72   5.82   5.38   5.15   5.02  
 0.900  5236.   -0.36  4.58  0.802    0.083   6.24   5.44   5.05   4.85   4.74  
 1.000  5536.   -0.17  4.53  0.895    0.307   5.63   4.93   4.58   4.41   4.32  
 1.100  5833.    0.03  4.47  1.013    0.574   5.05   4.42   4.11   3.96   3.89  
 1.200  6133.    0.23  4.40  1.150    0.770   4.48   3.93   3.65   3.52   3.47  
 1.300  6435.    0.40  4.34  1.283    0.880   3.98   3.49   3.24   3.13   3.10  
 1.400  6759.    0.56  4.30  1.389    0.938   3.53   3.12   2.90   2.81   2.79  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0800
